pasaj_id,span_no,banka,etiket,yakalanan,normal_deger,guven,baglam,ONAY_E_H,DUZELTILMIS_ETIKET,NOT
kuveyt_turk-b5cb2ca0d03e-p019,1,kuveyt_turk,INDIRIM_ORANI,%7,"{""deger"": 7.0, ""birim"": ""yuzde""}",0.9,"ına Toprak Turizm Yurt Dışı Turlarında %10, Umre Turlarında ⟪%7⟫ İndirim",,,
kuveyt_turk-b5cb2ca0d03e-p022,1,kuveyt_turk,TAKSIT_SAYISI,5 Aya Varan Taksit,"{""deger"": 5, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,Avansas’da Vade Farksız ⟪5 Aya Varan Taksit⟫ Fırsatı!,,,
kuveyt_turk-97b3a1d90b70-p004,0,kuveyt_turk,KAMPANYA_SURESI,19 Mart 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-03-19"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪19 Mart 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-cc7f8eed9d5d-p000,1,kuveyt_turk,TAKSIT_SAYISI,12 aya varan taksit,"{""deger"": 12, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,6 tarihine kadar Vaillant'ta yapacağınız alışverişlerinizde ⟪12 aya varan taksit⟫ imkanı sizleri bekliyor.,,,
kuveyt_turk-c5414f489829-p000,1,kuveyt_turk,TAKSIT_SAYISI,12 aya varan taksit,"{""deger"": 12, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,arihine kadar Demirdöküm’den yapacağınız alışverişlerinizde ⟪12 aya varan taksit⟫ imkanı sizi bekliyor.,,,
kuveyt_turk-2f4f3a7d6264-p001,0,kuveyt_turk,KAMPANYA_SURESI,31 Temmuz 2026,"{""tarih"": ""2026-07-31""}",0.9,NASIL YARARLANILIR? ⟪31 Temmuz 2026⟫’ya kadar,,,
kuveyt_turk-f4b084930093-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026,"{""tarih"": ""2026-12-31""}",0.9,Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026⟫,,,
kuveyt_turk-0751c2d90a2b-p003,0,kuveyt_turk,HARCAMA_ESIGI,1.000 TL ve üzeri,"{""deger"": 1000.0, ""birim"": ""TRY""}",0.9,⟪1.000 TL ve üzeri⟫ taksitlendirmeye uygun işlemlerinizi,,,
kuveyt_turk-b6f9f5e72db2-p003,1,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"m İçi İşlemler menüsünden ""Ücretsiz Taksitlendir"" butonuyla ⟪vade farksız⟫ 2 ile 5 taksit arasında taksitlendirebilirsiniz.",,,
kuveyt_turk-31e028f7f3ff-p001,1,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,ar İşbir Yatak mağazalarında yapacağınız alışverişlerinizde ⟪vade farksız⟫ 6'ya varan taksit imkanı sunuyor.,,,
kuveyt_turk-bcd8184de720-p005,0,kuveyt_turk,KAMPANYA_SURESI,10 Haziran – 31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.94,Kampanya Detayları ⟪10 Haziran – 31 Ağustos 2026⟫ tarihleri arasında geçerlidir.,,,
kuveyt_turk-9a9eb4fb999f-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,"Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026 tarihine kadar⟫ Desa Grubun (Samsonite, Desa , Adesa) mağazalarında yapacağ",,,
kuveyt_turk-23402864e008-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,"Kuveyt Türk Kredi Kartları, ⟪31 Aralık 2026 tarihine kadar⟫ Konyalı Saat mağazaları ve web sitesi üzerinden yapacağınız",,,
kuveyt_turk-6fe1cfa7ed17-p011,0,kuveyt_turk,INDIRIM_ORANI,%15,"{""deger"": 15.0, ""birim"": ""yuzde""}",0.9,Yurtdışı araç kiralamada: 360KUVEYT koduyla net ⟪%15⟫ indirim.,,,
kuveyt_turk-27880adb2b37-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026,"{""tarih"": ""2026-12-31""}",0.9,Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026⟫’e kadar Almila Mobilya mağazaları ve resmî web sitesinde ya,,,
kuveyt_turk-55f01fc00379-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026 tarihine kadar⟫ İmza mağazalarında yapacağınız alışverişlerinizde vade fark,,,
kuveyt_turk-4ed573441e66-p000,2,kuveyt_turk,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,"acağınız alışverişlerinizde 90.000 TL'ye kadar vade farksız ⟪6 taksit⟫, 90.000 TL ve üzeri alışverişlerde 9 taksit, 120.000 TL ve",,,
kuveyt_turk-4ed573441e66-p000,7,kuveyt_turk,TAKSIT_SAYISI,12 aya varan taksit,"{""deger"": 12, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,"e 9 taksit, 120.000 TL ve üzeri alışverişlerde vade farksız ⟪12 aya varan taksit⟫ imkanı sizi bekliyor.",,,
kuveyt_turk-971c55539968-p002,0,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,⟪vade farksız⟫ 4 aya varan taksit imkanı sizi bekliyor.,,,
kuveyt_turk-ce7b1a8a6656-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,Kuveyt Türk kredi kartları ile ⟪31 Aralık 2026 tarihine kadar⟫ Ramsey ve Kip’ten yapacağınız alışverişlerinizde vade farks,,,
kuveyt_turk-b561276adeda-p000,2,kuveyt_turk,TAKSIT_SAYISI,4 aya varan taksit,"{""deger"": 4, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,i web sitesinde yapacağınız alışverişlerinizde vade farksız ⟪4 aya varan taksit⟫ imkanı sizi bekliyor.,,,
kuveyt_turk-68217f2bb683-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026 tarihine kadar⟫ Vatan Bilgisayar’da yapacağınız alışverişlerinizde vade far,,,
kuveyt_turk-d656cc7017c2-p000,0,kuveyt_turk,INDIRIM_ORANI,%30,"{""deger"": 30.0, ""birim"": ""yuzde""}",0.9,veyt Türk Bireysel ve Tüzel Kredi Kartlarınızla WindyCar’da ⟪%30⟫ indirim fırsatı sizi bekliyor! 0 Muafiyet Güvencesi dahil a,,,
kuveyt_turk-f41808b16dd9-p001,1,kuveyt_turk,TAKSIT_SAYISI,4 aya varan taksit,"{""deger"": 4, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,e mağazalarında yapacağınız alışverişlerinizde vade farksız ⟪4 aya varan taksit⟫ imkanı sizi bekliyor.,,,
kuveyt_turk-98b771153f24-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026,"{""tarih"": ""2026-12-31""}",0.9,"Kuveyt Türk Bireysel Kredi Kartları, ⟪31 Aralık 2026⟫",,,
kuveyt_turk-24f507c051df-p004,0,kuveyt_turk,INDIRIM_ORANI,%20,"{""deger"": 20.0, ""birim"": ""yuzde""}",0.9,"Gold, Platin veya Diamond üyelik kazanarak seçili otellerde ⟪%20⟫'ye varan indirim, private hizmetler ve ücretsiz havaalanı t",,,
kuveyt_turk-2e83cddce07e-p000,2,kuveyt_turk,TAKSIT_SAYISI,5 aya varan taksit,"{""deger"": 5, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,i web sitesinde yapacağınız alışverişlerinizde vade farksız ⟪5 aya varan taksit⟫ imkanı sizi bekliyor.,,,
kuveyt_turk-5acf732b1452-p000,1,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,os 2026’a kadar EasyCep ’ten yapacağınız alışverişlerinizde ⟪vade farksız⟫ 9 aya varan taksit imkanı sizi bekliyor.,,,
kuveyt_turk-4025ce91f517-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026 tarihine kadar⟫ Divarese resmi web sitesinde yapacağınız alışverişlerinizde,,,
kuveyt_turk-fb41ef94c583-p003,1,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"m İçi İşlemler menüsünden ""Ücretsiz Taksitlendir"" butonuyla ⟪vade farksız⟫ 2 ile 5 taksit arasında taksitlendirebilirsiniz.",,,
kuveyt_turk-177aa5f28162-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,"Kuveyt Türk Bireysel Kredi kartları, ⟪31 Aralık 2026 tarihine kadar⟫ Yenilio mağazaları ve web sitesi üzerinden yapacağınız alış",,,
kuveyt_turk-b20b4e7a73fc-p000,0,kuveyt_turk,KAMPANYA_SURESI,31 Aralık 2026 tarihine kadar,"{""bitis"": ""2026-12-31""}",0.9,Kuveyt Türk bireysel kredi kartları ile ⟪31 Aralık 2026 tarihine kadar⟫ Yuki Motor’da yapacağınız alışverişlerinizde vade farksız 1,,,
kuveyt_turk-b62225921d97-p001,1,kuveyt_turk,TAKSIT_SAYISI,12 aya varan taksit,"{""deger"": 12, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,vade farksız ⟪12 aya varan taksit⟫ imkanı sizi bekliyor.,,,
kuveyt_turk-42c817df7c5a-p002,1,kuveyt_turk,INDIRIM_ORANI,%8,"{""deger"": 8.0, ""birim"": ""yuzde""}",0.9,"llerde %10 indirim, Helal hassasiyetli yurt dışı turlarında ⟪%8⟫ indirim, Tüm umre turlarında %6 indirim, yurt içi Otel reze",,,
kuveyt_turk-42c817df7c5a-p008,1,kuveyt_turk,TAKSIT_SAYISI,9 taksit,"{""deger"": 9, ""birim"": ""adet""}",0.93,Vade farksız ⟪9 taksit⟫ fırsatı sadece yurt içi otel rezervasyonlarında uygulanmakt,,,
kuveyt_turk-43cf1d1f0926-p002,0,kuveyt_turk,KAMPANYA_SURESI,1 Ocak 2026 tarihinde,"{""tarih"": ""2026-01-01""}",0.9,Kampanyadan yararlanabilecek katılımcılar ⟪1 Ocak 2026 tarihinde⟫n sonra Kuveyt Türk Mobilden müşteri olup Kuveyt Türk Mobild,,,
kuveyt_turk-d9064acda8bd-p005,0,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"Kampanya kapsamında harcamalarınızın ⟪vade farksız⟫ taksitlendirilmesi için İnternet Şube, Kuveyt Türk Mobil ve",,,
kuveyt_turk-d9064acda8bd-p012,0,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"Kampanya kapsamında harcamalarınızın ⟪vade farksız⟫ taksitlendirilmesi için İnternet Şube, Kuveyt Türk Mobil ve",,,
kuveyt_turk-50b4567cf65c-p000,2,kuveyt_turk,TAKSIT_SAYISI,9 aya varan taksit,"{""deger"": 9, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,i web sitesinde yapacağınız alışverişlerinizde vade farksız ⟪9 aya varan taksit⟫ imkanı sizi bekliyor.,,,
kuveyt_turk-27d40e2e0e9e-p002,0,kuveyt_turk,INDIRIM_ORANI,%5,"{""deger"": 5.0, ""birim"": ""yuzde""}",0.9,"her harcamanızda ⟪%5⟫, toplamda 2.000 TL indirim",,,
kuveyt_turk-f78aa110d22d-p000,1,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,kadar Brandy’s mağazalarında yapacağınız alışverişlerinizde ⟪vade farksız⟫ 3 aya varan taksit imkanı sizi bekliyor.,,,
kuveyt_turk-424da5c1056a-p000,1,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,r Starwood Yapı Market ’ ten yapacağınız alışverişlerinizde ⟪vade farksız⟫ 3 aya varan taksit imkanı sizi bekliyor.,,,
kuveyt_turk-8d4e5a6cf966-p000,0,kuveyt_turk,INDIRIM_ORANI,%15,"{""deger"": 15.0, ""birim"": ""yuzde""}",0.9,Kuveyt Türk Ticari kartlar ile Marqby'da ⟪%15⟫'e varan paket indirim avantajı sizi bekliyor! Markanız ile,,,
kuveyt_turk-12f827344e00-p000,0,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"rt Troy başvurusu yapan müşteriler, 30 Eylül tarihine kadar ⟪vade farksız⟫ sonradan taksitlendirme yapabilecektir.",,,
kuveyt_turk-da7bb2ed4501-p002,0,kuveyt_turk,TAKSIT_SAYISI,9 taksit,"{""deger"": 9, ""birim"": ""adet""}",0.93,"t ile harcama yapmadan önce Kart Ayarları sekmesinden 2 ila ⟪9 taksit⟫ arasında seçim yaparak, 100 TL ve üzeri harcamalarınızı %2.",,,
kuveyt_turk-da7bb2ed4501-p006,0,kuveyt_turk,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"z Sağlam Kart, Sağlam Kart Kampüs ve Elite Kart’ın sonradan ⟪vade farksız⟫ 5 taksit özelliğinden yararlanabilirler.",,,
kuveyt_turk-9706c8215fe2-p004,0,kuveyt_turk,HEDEF_KITLE,yeni müşteri,"{""metin"": ""yeni müşteri""}",0.9,⟪yeni müşteri⟫ olan (son 30 gün içerisinde) müşterilerimiz yararlanabilirl,,,
kuveyt_turk-a6660bcbc926-p003,0,kuveyt_turk,KAMPANYA_SURESI,15 Haziran 2025 - 31 Aralık 2026,"{""baslangic"": ""2025-06-15"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪15 Haziran 2025 - 31 Aralık 2026⟫,,,
kuveyt_turk-a6660bcbc926-p012,0,kuveyt_turk,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,Yeni Sağlam Kart Troy'lulara Özel ⟪Vade Farksız⟫ 5 Aya Varan Taksit İmkanı!,,,
kuveyt_turk-a6660bcbc926-p017,0,kuveyt_turk,KAMPANYA_SURESI,2 Şubat 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-02-02"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪2 Şubat 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-1c8ae40f9593-p000,0,kuveyt_turk,KAMPANYA_SURESI,13 Ağustos 2026 - 31 Ağustos 2026,"{""baslangic"": ""2026-08-13"", ""bitis"": ""2026-08-31""}",0.94,Kendim İçin İşim İçin Kampanya Arşivi Kampanya Aralığı: ⟪13 Ağustos 2026 - 31 Ağustos 2026⟫,,,
kuveyt_turk-1c8ae40f9593-p008,0,kuveyt_turk,KAMPANYA_SURESI,25 Haziran 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-06-25"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪25 Haziran 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-1c8ae40f9593-p015,0,kuveyt_turk,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,tçılara Özel ShipEntegra ile Yurtdışı Kargo Gönderilerinize ⟪Vade Farksız⟫ 3 Taksit!,,,
kuveyt_turk-1c8ae40f9593-p019,0,kuveyt_turk,INDIRIM_ORANI,%15,"{""deger"": 15.0, ""birim"": ""yuzde""}",0.9,ız da hazır olsun. Kuveyt Türk Ticari kartlar ile Marqby'da ⟪%15⟫'e varan indirim sizi bekliyor!,,,
kuveyt_turk-4cfb7bb1ca87-p001,0,kuveyt_turk,KAMPANYA_SURESI,1 Temmuz 2026 - 30 Eylül 2026,"{""baslangic"": ""2026-07-01"", ""bitis"": ""2026-09-30""}",0.94,Kampanya Arşivi Kampanya Aralığı: ⟪1 Temmuz 2026 - 30 Eylül 2026⟫,,,
kuveyt_turk-678e19564a7c-p001,0,kuveyt_turk,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,tçılara Özel ShipEntegra ile Yurtdışı Kargo Gönderilerinize ⟪Vade Farksız⟫ 3 Taksit!,,,
kuveyt_turk-678e19564a7c-p006,0,kuveyt_turk,KAMPANYA_SURESI,15 Haziran 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-06-15"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪15 Haziran 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-678e19564a7c-p015,0,kuveyt_turk,KAMPANYA_SURESI,19 Mart 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-03-19"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪19 Mart 2026 - 31 Aralık 2026⟫,,,
tom_bank-55c4b4dac7d9-p001,1,tom_bank,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"Kampanyalar Özel Okul Ödemelerinde 10 Taksit, üstelik ⟪vade farksız⟫!",,,
tom_bank-b59fb03904a7-p034,0,tom_bank,KAMPANYA_SURESI,15 Ocak 2026,"{""tarih"": ""2026-01-15""}",0.9,"tıkla. ⟪15 Ocak 2026⟫ itibarıyla, tek seferde yapılabilecek maksimum temassız işl",,,
emlak_katilim-5c451b4c074a-p000,0,emlak_katilim,INDIRIM_ORANI,%15,"{""deger"": 15.0, ""birim"": ""yuzde""}",0.9,Marina Mayo’da Tüm Ürünlerde ⟪%15⟫ İndirim!,,,
emlak_katilim-e941e17ff154-p001,0,emlak_katilim,INDIRIM_ORANI,%15,"{""deger"": 15.0, ""birim"": ""yuzde""}",0.9,Marina Mayo’da Tüm Ürünlerde ⟪%15⟫ İndirim!,,,
emlak_katilim-e941e17ff154-p020,0,emlak_katilim,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,DETAYLI BİLGİ Troy Apple’da ⟪vade farksız⟫ 5 aya varan taksit,,,
emlak_katilim-e941e17ff154-p027,0,emlak_katilim,TAKSIT_SAYISI,Peşin Fiyatına 9 Taksit,"{""deger"": 9, ""birim"": ""adet""}",0.96,DETAYLI BİLGİ Paraf ile Trendyol'da ⟪Peşin Fiyatına 9 Taksit⟫ Fırsatı!,,,
emlak_katilim-e941e17ff154-p031,0,emlak_katilim,TAKSIT_SAYISI,Peşin Fiyatına 6 Taksit,"{""deger"": 6, ""birim"": ""adet""}",0.96,DETAYLI BİLGİ Paraf ile Zsa Zsa Zsu Mağazalarında ⟪Peşin Fiyatına 6 Taksit⟫!,,,
emlak_katilim-e941e17ff154-p036,0,emlak_katilim,TAKSIT_SAYISI,4 Taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,DETAYLI BİLGİ Paraf ile Network’te ⟪4 Taksit⟫ Fırsatı!,,,
emlak_katilim-e941e17ff154-p041,0,emlak_katilim,TAKSIT_SAYISI,6 Aya Varan Taksit,"{""deger"": 6, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,DETAYLI BİLGİ Paraf ile D’S Damat’ta ⟪6 Aya Varan Taksit⟫ Fırsatı!,,,
emlak_katilim-e941e17ff154-p046,0,emlak_katilim,TAKSIT_SAYISI,8 Taksit,"{""deger"": 8, ""birim"": ""adet""}",0.93,DETAYLI BİLGİ Paraf ile Yataş’ta ⟪8 Taksit⟫ Fırsatı!,,,
emlak_katilim-e941e17ff154-p051,0,emlak_katilim,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,DETAYLI BİLGİ Paraf ile Gürgençler’de ⟪Vade Farksız⟫ 9 Taksit Fırsatı!,,,
emlak_katilim-e941e17ff154-p055,0,emlak_katilim,TAKSIT_SAYISI,9 Aya Varan Taksit,"{""deger"": 9, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,DETAYLI BİLGİ Paraf ile Vestel’de ⟪9 Aya Varan Taksit⟫ Fırsatı!,,,
emlak_katilim-e941e17ff154-p060,0,emlak_katilim,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,DETAYLI BİLGİ Paraf ile ITOPYA.COM'da ⟪Vade Farksız⟫ 6 Taksit!,,,
emlak_katilim-e941e17ff154-p064,0,emlak_katilim,TAKSIT_SAYISI,Peşin Fiyatına 9 Taksit,"{""deger"": 9, ""birim"": ""adet""}",0.96,DETAYLI BİLGİ Paraf ile Touristica.com.tr’de ⟪Peşin Fiyatına 9 Taksit⟫!,,,
emlak_katilim-025bf1f175c1-p000,1,emlak_katilim,KAMPANYA_SURESI,31 Ağustos 2026 tarihine kadar,"{""bitis"": ""2026-08-31""}",0.9,Paraf ile Kip’te 5 Taksit! ⟪31 Ağustos 2026 tarihine kadar⟫ KİP mağazaları ve www.kip.com.tr’de Paraf POS’larından yapı,,,
emlak_katilim-9758d96b3f2d-p000,0,emlak_katilim,INDIRIM_ORANI,%40,"{""deger"": 40.0, ""birim"": ""yuzde""}",0.9,RentGo'da ⟪%40⟫ İndirim Fırsatı! Kampanyaya Nasıl Katılırım?,,,
emlak_katilim-1b24100af547-p000,1,emlak_katilim,KAMPANYA_SURESI,31 Ağustos 2026 tarihine kadar,"{""bitis"": ""2026-08-31""}",0.9,Paraf ile Koçtaş’ta 5 Taksit! ⟪31 Ağustos 2026 tarihine kadar⟫ Koçtaş’ta Paraf POS'undan yapacağınız alışverişlerinde 5 ta,,,
emlak_katilim-0e7efd23dc6a-p000,0,emlak_katilim,TAKSIT_SAYISI,8 Taksit,"{""deger"": 8, ""birim"": ""adet""}",0.93,"Paraf ile Yataş’ta ⟪8 Taksit⟫ Fırsatı! Paraf ile Yataş Bedding, Yataş Enza, Yataş Puffy v",,,
emlak_katilim-9fd499fc1a1d-p000,0,emlak_katilim,TAKSIT_SAYISI,4 Taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,Paraf ile Evidea’da ⟪4 Taksit⟫ Fırsatı! 31 Ağustos 2026 tarihine kadar Evidea web sitesi v,,,
emlak_katilim-3f0f1147b222-p000,0,emlak_katilim,TAKSIT_SAYISI,5 Taksit,"{""deger"": 5, ""birim"": ""adet""}",0.93,Paraf ile Vivense’de ⟪5 Taksit⟫ Fırsatı! Paraf ile Vivense mağazalarında veya www.vivense.c,,,
emlak_katilim-7b46ba067d1b-p000,0,emlak_katilim,TAKSIT_SAYISI,4 Taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,Paraf ile Network’te ⟪4 Taksit⟫ Fırsatı! 31 Ağustos 2026 tarihine kadar Network mağazaları,,,
emlak_katilim-964c0b05c3af-p000,2,emlak_katilim,TAKSIT_SAYISI,4 taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,Paraf POS’larından yapılacak 5.000 TL üzeri alışverişlerde ⟪4 taksit⟫ imkanı sunulacaktır.,,,
emlak_katilim-12aa3f5d31d1-p000,0,emlak_katilim,TAKSIT_SAYISI,12 Aya Varan Taksit,"{""deger"": 12, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,Paraf ile Copa’da ⟪12 Aya Varan Taksit⟫! 1-31 Ağustos 2026 tarihleri arasında Parafüyesi Copa Isı B,,,
emlak_katilim-e4ab13b57d16-p000,2,emlak_katilim,TAKSIT_SAYISI,4 taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,arese.com.tr’de Paraf POS’larından yapılacak alışverişlerde ⟪4 taksit⟫ imkanı sunulacaktır.,,,
emlak_katilim-7a6942e48007-p022,0,emlak_katilim,KAMPANYA_SURESI,15 Ekim 2026 tarihinde,"{""tarih"": ""2026-10-15""}",0.9,Kullanılmayan ParafPara’lar ⟪15 Ekim 2026 tarihinde⟫ geri alınacaktır.,,,
emlak_katilim-98da9768e7cd-p001,0,emlak_katilim,KAMPANYA_SURESI,31 Ağustos 2026 tarihine kadar,"{""bitis"": ""2026-08-31""}",0.9,⟪31 Ağustos 2026 tarihine kadar⟫ Paraf üyesi Vaillant sanal POS’u üzerinden yapılan işlemler,,,
emlak_katilim-63bca4dc681f-p003,1,emlak_katilim,HARCAMA_ESIGI,1.000 TL ve üzeri,"{""deger"": 1000.0, ""birim"": ""TRY""}",0.9,kazanmak için; kargo bedeli hariç sepet tutarı tek seferde ⟪1.000 TL ve üzeri⟫ olmalıdır.,,,
emlak_katilim-63bca4dc681f-p004,4,emlak_katilim,KAMPANYA_SURESI,1 Eylül 2026,"{""tarih"": ""2026-09-01""}",0.9,"t 23.59,1 Ağustos 2026 saat 09.00 – 7 Ağustos 2026 23.59 ve ⟪1 Eylül 2026⟫ saat 09.00 – 7 Eylül 2026 23.59 arasında geçerlidir.",,,
emlak_katilim-9f610d9e8e64-p004,0,emlak_katilim,KAMPANYA_SURESI,10 Haziran 2026,"{""tarih"": ""2026-06-10""}",0.9,"Kampanya Koşulları Kampanya, ⟪10 Haziran 2026⟫ saat 00.01 – 31 Ağustos 2026 saat 23.59",,,
emlak_katilim-f7ad9853ddf7-p005,1,emlak_katilim,HARCAMA_ESIGI,30.000 TL ve üzeri,"{""deger"": 30000.0, ""birim"": ""TRY""}",0.9,asında DAMAT TWEEN’de Paraf POS’undan tek seferde yapılacak ⟪30.000 TL ve üzeri⟫ ilk alışverişe 2.000 TL ParafPara verilecektir.,,,
emlak_katilim-c439e9abc615-p006,0,emlak_katilim,HARCAMA_ESIGI,1.500 TL ve üzeri,"{""deger"": 1500.0, ""birim"": ""TRY""}",0.9,"Kampanya kapsamında yurt içinde tek seferde yapılacak ⟪1.500 TL ve üzeri⟫ ikinci ve dördüncü akaryakıt harcamasına 200 TL, toplam 400",,,
emlak_katilim-856f827bec26-p001,1,emlak_katilim,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,arı ve www.itopya.com’dan yapılacak taksitli alışverişinize ⟪vade farksız⟫ 6 taksit imkanı sunulacaktır.,,,
emlak_katilim-4be3b283ba43-p000,0,emlak_katilim,TAKSIT_SAYISI,Peşin Fiyatına 3 Taksit,"{""deger"": 3, ""birim"": ""adet""}",0.96,Paraf ile Porland’da ⟪Peşin Fiyatına 3 Taksit⟫!,,,
emlak_katilim-f5ddf44c3735-p002,0,emlak_katilim,HARCAMA_ESIGI,600 TL ve üzeri,"{""deger"": 600.0, ""birim"": ""TRY""}",0.9,"Kampanya kapsamında ⟪600 TL ve üzeri⟫ alışverişlerde peşin fiyatına 2 taksit, 1.000 TL ve üzeri a",,,
emlak_katilim-f5ddf44c3735-p002,5,emlak_katilim,TAKSIT_SAYISI,peşin fiyatına 6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.96,"e peşin fiyatına 3 taksit, 6.000 TL ve üzeri alışverişlerde ⟪peşin fiyatına 6 taksit⟫ fırsatından yararlanılabilir.",,,
emlak_katilim-db541a6148ec-p002,0,emlak_katilim,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,re.com’de Paraf POS’undan yapılacak taksitli alışverişlerde ⟪vade farksız⟫ 5 aya varan taksit imkanı sunulacaktır.,,,
emlak_katilim-c3870a2314fb-p006,0,emlak_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Kampanya Koşulları 01-⟪31 Ağustos 2026⟫ tarihleri arasında ADV mağazalarında Paraf POS’undan tek se,,,
